hwidmatch,manufacturer,md5,model,url,chrome_version
ASUKA,Dell,36d91091850ac708d374ca94680dc270,Dell Chromebook 13 (3380),https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15183.82.0_asuka_recovery_stable-channel_mp.bin.zip,108.0.5359.219
HAYATO-YLRO,Asus,5e250e3edb636ce5ff2966a8ccad0e69,ASUS Chromebook Flip CM3200FM1A,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_asurada_recovery_stable-channel_mp-v4.bin.zip,114.0.5735.332
SPHERION,Acer,5e250e3edb636ce5ff2966a8ccad0e69,"Acer Chromebook 514 (CB514-2H, CB514-2HT)",https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_asurada_recovery_stable-channel_mp-v4.bin.zip,114.0.5735.332
ATLAS,Google,83766e13522fe8b3ad0a96c7932536c6,Google Pixelbook Go,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_atlas_recovery_stable-channel_mp-v2.bin.zip,114.0.5735.332
BANON,Acer,27e2d7c52e70f6d9f67438e1e22f121c,Acer Chromebook 15 (CB3-532),https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_14695.107.0_banon_recovery_stable-channel_mp.bin.zip,102.0.5005.125
BOB,Asus,4c5cf9426e612b56ebcb6b0f469abab7,ASUS Chromebook Flip C101PA,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15183.82.0_bob_recovery_stable-channel_mp.bin.zip,108.0.5359.219
AURASH-AZKT,AOpen,34a5a051a520f72602c551446b400113,AOpen Chromebox Commercial 3,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brask_recovery_stable-channel_mp-v7.bin.zip,114.0.5735.332
KULDAX-DGSC,Asus,34a5a051a520f72602c551446b400113,"ASUS Chromebox 5 (CN67), ASUS Chromebox Enterprise 5 (CN67)",https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brask_recovery_stable-channel_mp-v7.bin.zip,114.0.5735.332
MOLI,Acer,34a5a051a520f72602c551446b400113,Acer Chromebox CXI5,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brask_recovery_stable-channel_mp-v7.bin.zip,114.0.5735.332
LISBON-GURF,CTL,34a5a051a520f72602c551446b400113,CTL Chromebox CBx3 / CTL Chromebox Enterprise CBx3,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brask_recovery_stable-channel_mp-v7.bin.zip,114.0.5735.332
GLADIOS-GNLB,HP,34a5a051a520f72602c551446b400113,Chromebox Enterprise G4,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brask_recovery_stable-channel_mp-v7.bin.zip,114.0.5735.332
KINOX-WGMJ,Lenovo,34a5a051a520f72602c551446b400113,Lenovo ThinkCentre M60q Chromebox,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brask_recovery_stable-channel_mp-v7.bin.zip,114.0.5735.332
LISBON-TVCI,Quanta CL,34a5a051a520f72602c551446b400113,Lisbon Development Product,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brask_recovery_stable-channel_mp-v7.bin.zip,114.0.5735.332
MITHRAX-HKVS,Asus,d13de296a2d38f36e2548dfe5fba3800,ASUS Chromebook CX34 Flip (CX3401) / ASUS Chromebook CX34 Flip (CX3401FBA) / ASUS Chromebook Enterprise CB34 Flip (CB3401) /  ASUS Chromebook Enterprise CX34 Flip (CX3401),https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
FELWINTER-BDXJ,Asus,d13de296a2d38f36e2548dfe5fba3800,"ASUS Chromebook Flip CX5(CX5601), ASUS Chromebook Enterprise Flip CX5(CX5601)",https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
OSIRIS-ATFE,Acer,d13de296a2d38f36e2548dfe5fba3800,Acer Chromebook 516 GE (CBG516-1H),https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
KANO-VJXU,Acer,d13de296a2d38f36e2548dfe5fba3800,Acer Chromebook Spin 714  -- CP714-1WN / Acer Chromebook Enterprise Spin 714 -- CP714-1WN,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
KANO,Acer,d13de296a2d38f36e2548dfe5fba3800,Acer Chromebook Spin 714  -- CP714-2WN / Acer Chromebook Enterprise Spin 714 -- CP714-2WN,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
VOLMAR-PGRU,Acer,d13de296a2d38f36e2548dfe5fba3800,Acer Chromebook Vero 514,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
ZAVALA-PSHU,Acer,d13de296a2d38f36e2548dfe5fba3800,"Acer Chromebook Vero 712 (CV872, CV872T)",https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
MITHRAX-ISVS,Asus,d13de296a2d38f36e2548dfe5fba3800,Asus Chromebook Vibe CX34 Flip (CX3401) / Asus Chromebook Vibe CX34 Flip (CX3401FBA),https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
GIMBLE-PVHI,HP,d13de296a2d38f36e2548dfe5fba3800,Chromebook x360 14c-cd0,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
CROTA360-QYFB,Dell,d13de296a2d38f36e2548dfe5fba3800,Dell Latitude 5430 2-in-1 Chromebook,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
CROTA-LPXP,Dell,d13de296a2d38f36e2548dfe5fba3800,Dell Latitude 5430 Chromebook,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
BANSHEE-UZTQ,Framework,d13de296a2d38f36e2548dfe5fba3800,Framework Laptop Chromebook Edition,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
VELL-SVGZ,HPCMIT,d13de296a2d38f36e2548dfe5fba3800,HP Dragonfly Pro Chromebook,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
REDRIX-CLQY,HP,d13de296a2d38f36e2548dfe5fba3800,HP Elite Dragonfly Chromebook,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
TANIKS,Lenovo,d13de296a2d38f36e2548dfe5fba3800,IdeaPad Gaming Chromebook 16,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
TARLO,Lenovo,d13de296a2d38f36e2548dfe5fba3800,"Lenovo 5i Chromebook 16""/IdeaPad 5i Chromebook (16"", 7)",https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
TAEKO-YVJB,Lenovo,d13de296a2d38f36e2548dfe5fba3800,"Lenovo Flex 5i Chromebook (14"", 7)",https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
TAEKO-QSHQ,Lenovo,d13de296a2d38f36e2548dfe5fba3800,"Lenovo Flex 5i Chromebook 14""/IdeaPad Flex 5i Chromebook (14"", 7)",https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
PRIMUS-ZPIS,Lenovo,d13de296a2d38f36e2548dfe5fba3800,ThinkPad C14 Gen 1 Chromebook,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
ANAHERA-TYOO,HP,d13de296a2d38f36e2548dfe5fba3800,w/o Chrome Enterprise Upgrade: HP Elite c640 14 inch G3 Chromebook; with Chrome Enterprise Upgrade: HP Elite c640 14 inch G3 Chromebook Enterprise,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_brya_recovery_stable-channel_mp-v11.bin.zip,114.0.5735.332
CAROLINE,Samsung,12a2a878be3cea83d14950417e0f385f,Samsung Chromebook Pro,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15183.82.0_caroline_recovery_stable-channel_mp.bin.zip,108.0.5359.219
CAVE,Asus,99c9b3ddb0b29f5a0c135370397b366e,ASUS Chromebook Flip C302,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15183.82.0_cave_recovery_stable-channel_mp.bin.zip,108.0.5359.219
CELES,Samsung,beba3b783c7fe254bce8e0607dde8d5e,Samsung Chromebook 3,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_14695.107.0_celes_recovery_stable-channel_mp-v2.bin.zip,102.0.5005.125
CHELL,HP,ed55113d79ceaa3b4d97f981488ef15d,HP Chromebook 13 G1,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15183.82.0_chell_recovery_stable-channel_mp.bin.zip,108.0.5359.219
TOMATO-LYVN,Acer,f0a67c82ded60eaa56055040f5750ac2,"ACER Chromebook Spin 513 (CP513-2H), Acer Chromebook Enterprise Spin 513 (CP513-2H)",https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_cherry_recovery_stable-channel_mp-v4.bin.zip,114.0.5735.332
DOJO-EJPG,HP,f0a67c82ded60eaa56055040f5750ac2,Chromebook x360 13b-ca0,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_cherry_recovery_stable-channel_mp-v4.bin.zip,114.0.5735.332
BABYMEGA,Asus,b85f5068ef328964f8af0da4c789f291,ASUS Chromebook C223,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_coral_recovery_stable-channel_mp-v21.bin.zip,114.0.5735.332
duplicate of rabbid,Asus,b85f5068ef328964f8af0da4c789f291,ASUS Chromebook C403,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_coral_recovery_stable-channel_mp-v21.bin.zip,114.0.5735.332
RABBID,Asus,b85f5068ef328964f8af0da4c789f291,ASUS Chromebook C423,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_coral_recovery_stable-channel_mp-v21.bin.zip,114.0.5735.332
BABYTIGER,Asus,b85f5068ef328964f8af0da4c789f291,ASUS Chromebook C523,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_coral_recovery_stable-channel_mp-v21.bin.zip,114.0.5735.332
BABYMEGA,Asus,b85f5068ef328964f8af0da4c789f291,ASUS Chromebook CX1100CNA,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_coral_recovery_stable-channel_mp-v21.bin.zip,114.0.5735.332
RABBID,Asus,b85f5068ef328964f8af0da4c789f291,ASUS Chromebook CX1400CNA,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_coral_recovery_stable-channel_mp-v21.bin.zip,114.0.5735.332
BABYTIGER,Asus,b85f5068ef328964f8af0da4c789f291,ASUS Chromebook CX1500CNA,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_15437.68.0_coral_recovery_stable-channel_mp-v21.bin.zip,114.0.5735.332
